DOSSIER,VGNUMMER,HN45,PCVA,STRAAT_VA,HUISNR_VA,TOEV_VA,PC_VA,PLAATS_VA,RV,URL,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus,C_HOOFDACT,NEVEN1,NEVEN2,reg_date,emp_class,inNiwo,inFenex
24404823,000016193040,Rotterdam Shipping & Trading B.V.,2987VD,Boelewerf,16,,2987VD,Ridderkerk,41,,0.0,industriefunctie,468.0,in gebruik,H,H,,2006-11-27,1,0,0
24404892,000007914814,MK Logistieke Dienstverlening,3079WC,Schalkeroord,75,,3079WC,Rotterdam,1,,0.0,woonfunctie,73.0,in gebruik,H,,,2006-11-28,2,0,0
24405282,000020423322,Olympic Logistics B.V.,2991XV,Escudostraat,6,c,2991XV,Barendrecht,41,,0.0,kantoorfunctie,168.0,in gebruik,H,,,2006-06-12,2,0,0
24405486,000020084471,Logic-Chart,3161WD,Debussystraat,2,,3161WD,Rhoon,41,,0.0,kantoorfunctie,1743.0,in gebruik,H,H,,2006-11-12,1,0,0
24405504,000007674112,Dael Holding B.V.,3271VJ,Vrijland,20,,3271VJ,Mijnsheerenland,41,,0.0,woonfunctie,127.0,in gebruik,H,K,,2006-12-12,1,0,0
24405531,000013237039,Peco Holding B.V.,3087BP,Waalstraat,28,,3087BP,Rotterdam,41,,0.0,woonfunctie,118.0,in gebruik,H,K,,2006-12-12,1,0,0
24405597,000019563825,Hooymeijer Special Transport B.V.,3133KJ,George Stephensonweg,25,,3133KJ,Vlaardingen,41,www.hooymeijer.nl,0.0,industriefunctie,7466.0,in gebruik,H,,,2006-12-12,1,0,0
24405660,000005364175,Five Star Services B.V.,3088GA,Albert Plesmanweg,37,-L,3088GA,Rotterdam,41,,,,,,H,,,2006-12-13,3,0,0
24405663,000016522249,Rotterdam Air & Sea Freight B.V.,3044CK,Vlaardingweg,40,,3044CK,Rotterdam,41,,0.0,industriefunctie,1635.0,in gebruik,H,,,2006-12-13,4,0,0
24406992,000017632781,Den Breejen Bevrachtingen B.V.,2909LE,Rivium 1e Straat,115,,2909LE,CAPELLE AAN DEN IJSSEL,41,www.denbreejenbevrachtingen.nl,0.0,kantoorfunctie,262.0,ingetrokken,H,,,2007-03-01,3,1,0
24407645,000003152278,Tale B.V.,3054AE,Straatweg,199,,3054AE,Rotterdam,41,www.perfectinnovation.com,0.0,kantoorfunctie,286.0,in gebruik,H,,,2007-09-01,1,0,0
24407867,000001894706,Hardink Transport B.V.,2771VN,Boezemlaan,13,,2771VN,Boskoop,41,,0.0,industriefunctie,240.0,in gebruik,H,H,,2018-09-07,3,0,0
24408411,000005174295,Kaldhez Holding B.V.,3315TX,Makoré,23,,3315TX,Dordrecht,41,www.kaldhez.nl,0.0,woonfunctie,150.0,in gebruik,K,H,H,2007-01-22,1,0,0
24408560,000005458692,Bosporus Freight Forwarding B.V.,3342GR,De Veldoven,4,C,3342GR,Hendrik-Ido-Ambacht,41,www.bosporusforwarding.com,0.0,kantoorfunctie,49.0,in gebruik,H,G,G,2017-01-13,3,0,0
24409777,000017935814,CTG Logistics B.V.,3196KH,Propaanweg,53,,3196KH,VondelingenplaatRotterd.,41,,0.0,industriefunctie,2657.0,in gebruik,H,,,2007-02-13,2,0,0
24409873,000001818112,VitalXL,3067VC,Blondeelstraat,248,,3067VC,Rotterdam,41,www.vitaminguru.eu,0.0,woonfunctie,129.0,in gebruik,G,N,H,2014-08-21,2,0,0
24410032,000016453050,Rederij Alpha Bunker Service 3 B.V.,3133AV,Westhavenkade,87,,3133AV,Vlaardingen,41,,0.0,industriefunctie,560.0,in gebruik,H,H,,2007-02-16,1,0,0
24410087,000020189664,SCL Rotterdam B.V.,3115HA,Admiraal De Ruyterstraat,31,,3115HA,Schiedam,41,www.sclnl.nl,0.0,kantoorfunctie,1595.0,in gebruik,H,G,,2007-02-19,5,0,0
24410164,000018691951,SKB Logistics N.V.,2991LG,Oosteinde,9,,2991LG,Barendrecht,51,,0.0,industriefunctie,828.0,in gebruik,H,,,2007-02-19,1,0,0
24410520,000002755211,G.J. den Haan,3284AS,Nassaustraat,12,,3284AS,Zuid-Beijerland,1,,0.0,woonfunctie,87.0,in gebruik,M,H,,2007-02-26,2,0,0
24410721,000016070119,Straytest Logistic Services B.V.,2991VD,Gebroken Meeldijk,66,,2991VD,Barendrecht,41,,0.0,kantoorfunctie,2150.0,in gebruik,H,,,2007-02-28,3,0,0
24410799,000016692063,De Basis B.V.,2913LV,Hoogeveenenweg,155,,2913LV,Nieuwerkerk ad IJssel,41,,0.0,industriefunctie,5407.0,in gebruik,H,G,G,2007-01-03,2,0,0
24411166,000007017979,KCS Logistics,3363KH,Menuet,24,,3363KH,Sliedrecht,1,,0.0,woonfunctie,93.0,in gebruik,H,G,,2007-07-03,2,0,0
24412082,000011690305,YES Logistics Benelux B.V.,3088GB,Albert Plesmanweg,61,D,3088GB,Rotterdam,41,www.yeslogistics.nl,0.0,industriefunctie,54.0,ingetrokken,H,,,2007-03-22,1,0,0
24412844,000017990610,KVS Shipbrokers B.V.,2991CN,Stationsweg,88,,2991CN,Barendrecht,41,,0.0,woonfunctie,189.0,in gebruik,H,,,2007-03-04,3,0,0
24412958,000008894361,United Barging B.V.,3341LW,Noordeinde,109,,3341LW,Hendrik-Ido-Ambacht,41,,0.0,kantoorfunctie,441.0,in gebruik,H,,,2007-05-04,1,0,0
24413621,000006903061,Vayka International Shipping B.V.,4791RN,Energieweg,2,,4791RN,Klundert,41,,0.0,industriefunctie,19895.0,in gebruik (niet ingemeten),H,K,H,2018-04-06,2,0,0
24414604,000019413505,A. Onassis B.V.,3291LT,Wielweg,2,,3291LT,Strijen,41,,0.0,woonfunctie,434.0,in gebruik (niet ingemeten),H,,,2007-09-05,2,0,0
24414889,000019347715,MSX B.V.,2983GR,Ringdijk,366,,2983GR,Ridderkerk,41,www.msxbenelux.com,0.0,overige gebruiksfunctie,13.0,ingetrokken,H,H,,2007-05-15,4,0,0
24416196,000019366604,Newcorp Logistics B.V.,3274KK,Sikkel,13,,3274KK,Heinenoord,41,,0.0,kantoorfunctie,10595.0,in gebruik (niet ingemeten),H,N,,2007-07-06,4,0,1
24416201,000016249798,M.J. de Groot Transport B.V.,2911BL,de Vijf Boeken,11,,2911BL,Nieuwerkerk ad IJssel,41,,0.0,industriefunctie,650.0,in gebruik,H,,,2007-07-06,4,1,0
24416352,000018167985,Anne-Dorte Shipping B.V.,3335LR,Daltonstraat,33,,3335LR,Zwijndrecht,41,,0.0,kantoorfunctie,96.0,in gebruik,H,H,,2007-11-06,1,0,0
24416592,000007984782,Azimuth Marine B.V.,3335LR,Daltonstraat,23,,3335LR,Zwijndrecht,41,,0.0,kantoorfunctie,179.0,in gebruik,H,H,K,2007-06-14,1,0,0
24417438,000003195473,HCL Consultancy,3295PG,Dagpauwoog,14,,3295PG,'s-Gravendeel,1,,0.0,woonfunctie,163.0,in gebruik,M,H,M,2007-06-29,2,0,0
24417635,000019838557,Andromeda Commodity Forwarding & Logist. B.V.,3084CC,Aploniastraat,70,,3084CC,Rotterdam,41,,0.0,industriefunctie,111.0,in gebruik,H,H,,2007-03-07,3,0,0
24417636,000017386861,Andromeda Tobacco Forwarding & Logistics B.V.,3084CC,Aploniastraat,70,,3084CC,Rotterdam,41,,0.0,industriefunctie,111.0,in gebruik,H,H,,2007-03-07,4,0,0
24418316,000010030395,Aqua Navis B.V.,3316AK,Laan der Verenigde Naties,83,,3316AK,Dordrecht,41,,0.0,kantoorfunctie,1022.0,in gebruik,H,,,2007-07-13,2,0,0
24418443,000011214880,Coriolis Chartering B.V.,3161ED,Spui,6,,3161ED,Rhoon,41,,0.0,kantoorfunctie,88.0,in gebruik,M,H,H,2007-07-17,1,0,0
24418650,000002839350,Transportgroup De Merwede,3371RM,Pauwtjesmolen,16,,3371RM,Hardinxveld-Giessendam,1,www.demerwede.com,0.0,woonfunctie,196.0,in gebruik,H,,,2007-07-20,3,0,0
24418697,000002005034,Geert Reurich,3124VC,Dilleveld,66,,3124VC,Schiedam,1,,0.0,woonfunctie,123.0,in gebruik,H,,,2007-07-23,2,0,0
24418883,000017903262,Rotterdam Freight Station B.V.,3197KV,Nieuwesluisweg,240,,3197KV,Botlek Rotterdam,41,,0.0,industriefunctie,12043.0,in gebruik,H,,,2007-07-25,5,0,0
24419076,000019184581,DM4Moving & Facilities B.V.,3044AK,Giessenweg,1,A,3044AK,Rotterdam,41,,0.0,industriefunctie,777.0,ingetrokken,H,,,2007-07-30,2,0,0
24419837,000019524765,CEConsys Consulting B.V.,3059XA,Cypruslaan,133,,3059XA,Rotterdam,41,,0.0,woonfunctie,150.0,in gebruik,G,H,N,2007-08-16,3,0,0
24420197,000019988354,YST Logistics B.V.,3341LW,Noordeinde,109,,3341LW,Hendrik-Ido-Ambacht,41,,0.0,kantoorfunctie,441.0,in gebruik,H,,,2007-08-24,3,1,0
24420413,000018861741,PostNL Pharma & Care,3732HX,Universiteitsweg,3,,3732HX,De Bilt,41,www.mikropakket.nl,0.0,industriefunctie,1166.0,in gebruik,H,,,2019-02-09,1,1,0
24420583,000017106079,B.F.S. B.V.,1118LB,Prestwickweg,88,,1118LB,Schiphol,41,,0.0,industriefunctie,122.0,in gebruik,H,,,2015-06-18,3,0,0
24420585,000016064461,A.F.S. Transport (Air Freight) B.V.,3088HG,Van Veenendaalweg,11,,3088HG,Rotterdam,41,,0.0,industriefunctie,2996.0,in gebruik,H,,,2007-08-30,3,0,0
24420789,000016895142,Aseco Container Services B.V.,2994LD,Deventerseweg,12,,2994LD,Barendrecht,41,,0.0,industriefunctie,152.0,in gebruik,H,K,,2007-04-09,4,0,0
24420909,000015181502,TR Transport,3314TE,Jacob Marisstraat,73,,3314TE,Dordrecht,1,,0.0,woonfunctie,109.0,in gebruik,H,,,2007-06-09,3,0,0
24421111,000017059259,Transnordic Shipping & Logistics B.V.,3087AE,Sluisjesdijk,111,,3087AE,Rotterdam,41,www.transnordic.nl,0.0,industriefunctie,6053.0,in gebruik,H,,,2007-10-09,4,0,0
24421916,000008268533,Noordriver Groep B.V.,3311HK,Singel,268,,3311HK,Dordrecht,41,,0.0,kantoorfunctie,748.0,in gebruik,H,H,H,2007-09-25,3,0,0
24422648,000020406878,Westland ITL B.V.,3071NS,Maaskade,170,C,3071NS,Rotterdam,41,,0.0,woonfunctie,106.0,in gebruik,H,,,2007-08-10,2,0,0
24422983,000011676396,Seaffairs B.V.,3062RH,Van Somerenweg,12,,3062RH,Rotterdam,41,,0.0,woonfunctie,225.0,in gebruik,H,,,2007-10-15,1,0,0
24423380,000015772284,Engelina B.V.,3316BG,Wieldrechtseweg,50,,3316BG,Dordrecht,41,www.essberger.biz,0.0,industriefunctie,8560.0,in gebruik,H,H,C,2007-10-23,1,0,0
24423529,000013574493,O.G. Logistics B.V.,3087BL,Waalhaven N.z.,26,,3087BL,Rotterdam,41,www.oglogistics.nl,0.0,industriefunctie,4400.0,in gebruik,H,,,2007-10-25,2,0,0
24423631,000006760619,MIRUJOPA B.V.,3281HA,Numansgors,15,,3281HA,Numansdorp,41,,0.0,woonfunctie,72.0,in gebruik,H,P,F,2007-10-26,1,0,0
24423964,000007424671,Marico Holding B.V.,4871NV,Deurnestraat,12,,4871NV,Etten-Leur,41,,0.0,woonfunctie,184.0,in gebruik,H,,,2015-11-11,1,0,0
24424182,000018617506,Ryano Expeditie B.V.,4791PB,Fuutweg,1,A,4791PB,Klundert,41,,0.0,kantoorfunctie,3181.0,in gebruik,H,H,H,2008-06-08,1,0,1
24424255,,Global Logistics Associates (GLA),2992SR,Augustapolder,72,,2992SR,Barendrecht,71,www.glanetwork.com,0.0,kantoorfunctie,536.0,in gebruik,H,,,2007-08-11,1,0,0
24424358,000016167597,Coral Palmata Shipping B.V.,3016BB,Parklaan,2,,3016BB,Rotterdam,41,,0.0,kantoorfunctie,2850.0,in gebruik,H,,,2007-09-11,1,0,0
24424363,000017399297,Coral Pavona Shipping B.V.,3016BB,Parklaan,2,,3016BB,Rotterdam,41,,0.0,kantoorfunctie,2850.0,in gebruik,H,,,2007-09-11,1,0,0
24424543,000020321333,TALE Nederland B.V.,3054AE,Straatweg,199,,3054AE,Rotterdam,41,www.perfectinnovation.com,0.0,kantoorfunctie,286.0,in gebruik,H,,,2007-11-13,1,0,0
24424695,000008843856,Benno Verhuur,2951JG,Kraanbaan,348,,2951JG,Alblasserdam,1,,0.0,woonfunctie,82.0,in gebruik,M,H,H,2007-11-19,2,0,0
24425001,000008758816,B&J Solutions B.V.,3059RP,Francis Picabiastraat,8,,3059RP,Rotterdam,41,,0.0,woonfunctie,218.0,in gebruik,M,P,H,2007-11-23,2,0,0
24425186,000017393655,MMS Logistiek B.V.,3342GE,Agnes Bartoutslaan,28,,3342GE,Hendrik-Ido-Ambacht,41,,0.0,woonfunctie,205.0,in gebruik,H,L,,2007-11-28,2,0,0
24425409,000016074556,Transportbedrijf A. van Andel & Zn. B.V.,3371XA,Ambachtsstraat,19,,3371XA,Hardinxveld-Giessendam,41,www.avatransport.nl,0.0,kantoorfunctie,4932.0,in gebruik,H,H,,2007-03-12,1,1,0
24425457,000017585996,De Baanderij,2802AC,Industriestraat,1,,2802AC,Gouda,41,www.debaanderij.nl,0.0,kantoorfunctie,421.0,in gebruik (niet ingemeten),H,,,2007-03-12,2,0,0
24425542,000017055156,Prospero Seashipping B.V.,4424NC,Oostelijke Kanaalweg,22,,4424NC,Wemeldinge,41,,0.0,kantoorfunctie,230.0,in gebruik,H,,,2009-09-01,1,0,0
24426036,000014442914,ArSon IT,3162RB,Amethysthof,16,,3162RB,Rhoon,1,,0.0,woonfunctie,122.0,in gebruik,J,H,,2007-12-27,2,0,0
24426276,000009422692,Somtrans N.V.,3331MA,Scheepmakerij,150,,3331MA,Zwijndrecht,94,,0.0,kantoorfunctie,222.0,in gebruik,H,H,,2007-12-14,1,0,0
24426842,000011022507,BTD Bokhout Transport Dienstverlening,2969CC,De Boomgaard,2,,2969CC,Oud-Alblas,1,,0.0,woonfunctie,102.0,in gebruik,N,H,,2007-12-24,2,0,0
24426984,000015285855,JP Agencies,3233AH,de Ruy,102,,3233AH,Oostvoorne,1,,0.0,woonfunctie,122.0,in gebruik,H,,,2007-12-27,2,0,0
24427114,000005971942,De Bruyn Gonzalez Marketingmanagement,3465KE,Burg Doormanstraat,22,,3465KE,Driebruggen,1,,0.0,woonfunctie,76.0,in gebruik,M,H,G,2007-12-28,2,0,0
24428167,000003956229,Marnic Kattensingel B.V.,2804NV,Beemdgras,68,,2804NV,Gouda,41,,0.0,woonfunctie,140.0,in gebruik,K,H,,2008-09-01,1,0,0
24428290,000038461285,Oltex B.V.,3088HH,Waalhaven Z.z.,12,H,3088HH,Rotterdam,41,,,,,,H,,,2017-11-27,2,0,0
24428846,000019422040,Conautic Maritime Agency B.V.,3194AA,Hoefsmidstraat,41,Kamer 301,3194AA,Hoogvliet Rotterdam,41,www.conautic.com,0.0,industriefunctie,10263.0,in gebruik,H,N,,2008-01-17,3,0,0
24429005,000007026013,FLT Consult B.V.,3055PB,Van Ballegooijsingel,43,,3055PB,Rotterdam,41,,0.0,woonfunctie,153.0,in gebruik,H,M,,2008-01-21,2,0,0
24429128,000017803705,V.S. Shipping & Chartering,3252LA,Blauwe Distelstraat,27,A,3252LA,Goedereede,41,,0.0,woonfunctie,175.0,in gebruik,H,,,2008-01-22,3,0,0
24429570,000018841457,WELPATRANS Expeditie B.V.,3068JN,Marshallweg,33,,3068JN,Rotterdam,41,,0.0,kantoorfunctie,151.0,in gebruik,H,,,2008-01-29,4,1,0
24429939,000013509632,Dynamic Port Agencies B.V.,3125BJ,'s-Gravelandseweg,359,,3125BJ,Schiedam,41,www.dynamicportagencies.com,0.0,industriefunctie,1681.0,in gebruik,H,H,,2012-07-19,2,0,0
24430293,000017180465,Mid America Overseas The Netherlands B.V.,3088GB,Albert Plesmanweg,39,N,3088GB,Rotterdam,41,www.maoinc.com,,,,,H,,,2008-08-02,3,0,0
24430471,000018022553,Du Jo Container Logistic B.V.,3088GN,Parmentierplein,13,Unit 2.12,3088GN,Rotterdam,41,,0.0,industriefunctie,3151.0,ingetrokken,H,,,2008-12-02,3,1,0
24431375,000017274931,MFF International B.V.,3342GL,De Plaats,33,,3342GL,Hendrik-Ido-Ambacht,41,,0.0,industriefunctie,72.0,in gebruik,H,,,2008-02-26,3,0,0
24431708,000007714831,Midanko,3132GM,Vossiusstraat,95,,3132GM,Vlaardingen,1,www.midanko.nl,0.0,woonfunctie,64.0,in gebruik,H,M,H,2008-03-03,2,0,0
24431876,000016895754,RFM Logistics B.V.,2902BR,Van Maerlantpark,15,,2902BR,Capelle aan den IJssel,41,,0.0,woonfunctie,204.0,in gebruik,H,M,,2008-04-03,1,0,0
24433307,000019595476,Lievaart Expeditie B.V.,2678HA,Jogchem van der Houtweg,84,A,2678HA,De Lier,41,,0.0,kantoorfunctie,970.0,in gebruik,H,,,2011-05-17,5,0,0
24433888,000018196527,Eusu Logistics B.V.,3088HH,Waalhaven Z.z.,12,Havenstaete2,3088HH,Rotterdam,41,,,,,,H,,,2008-08-04,5,0,0
24433888,000023874171,Eusu Logistics B.V.,1118LA,Shannonweg,15,,1118LA,Schiphol,41,www.hanjinlogistics.com,0.0,industriefunctie,152.0,in gebruik,H,,,2008-08-04,5,0,0
24433902,000019059221,Orient Express Container (Netherlands) B.V.,2908LT,Cypresbaan,15,,2908LT,Capelle aan den IJssel,41,www.oecgroup.com,0.0,kantoorfunctie,673.0,in gebruik,H,,,2008-08-04,3,0,0
24435099,000016479092,Coöperat. Tandem Global Logistics Network UA,3044CJ,Vlaardingweg,63,,3044CJ,Rotterdam,61,,,,,,H,,,2008-04-29,2,0,0
24435682,000019040822,World Freight Relocations B.V.,2952DA,Nieuwland Parc,12,a,2952DA,Alblasserdam,41,www.worldfreightrelocations.nl,0.0,industriefunctie,126.0,in gebruik,H,,,2008-05-13,2,0,0
24435857,000020140517,Cross-Trades Shipping Services B.V.,3161GM,Rivierweg,1,,3161GM,Rhoon,41,www.xtrades.nl,0.0,kantoorfunctie,1364.0,in gebruik,H,,,2008-05-16,4,0,0
24436112,000015934934,DIECHEMCO B.V.,4652GE,Lunet,3,,4652GE,Steenbergen,41,,0.0,woonfunctie,125.0,in gebruik,H,,,2019-02-08,2,0,0
24436167,000017456797,RailLogix B.V.,3195ND,Seattleweg,7,,3195ND,Pernis Rotterdam,41,www.raillogix.com,0.0,industriefunctie,869.0,ingetrokken,H,,,2008-05-22,3,0,1
24436532,000005059992,Zijderlaan Forwarding Holding B.V.,3284KT,Oranjeweg,58,,3284KT,Zuid-Beijerland,41,,0.0,woonfunctie,245.0,in gebruik,K,H,,2008-05-28,2,0,0
24437029,000020109520,Nautilus Port Services B.V.,3011SK,Groenendaal,23,F 5e verdiep,3011SK,Rotterdam,41,www.nps-eu.com,0.0,kantoorfunctie,132.0,in gebruik,H,N,,2008-05-06,5,0,0
24437112,000015863042,Htrans Logistiek Centrum B.V.,2964LE,Energieweg,10,,2964LE,Groot-Ammers,41,,0.0,kantoorfunctie,50.0,in gebruik,H,H,,2008-06-06,3,0,0
24437283,000017989027,Wijgaart Transport B.V.,3331LD,Veerplein,45,,3331LD,Zwijndrecht,41,,0.0,winkelfunctie,166.0,in gebruik (niet ingemeten),H,,,2008-09-06,2,0,0
24437413,000017420539,Royal Web Logistics (Europe) B.V.,2994LA,Arnhemseweg,12,,2994LA,Barendrecht,41,royal-logistics.nl,0.0,winkelfunctie,2422.0,in gebruik,H,H,,2008-10-06,3,0,0
24437726,000018741835,CourseWise 100 B.V.,3342GT,Het Tasveld,20,A,3342GT,Hendrik-Ido-Ambacht,41,,0.0,industriefunctie,137.0,in gebruik,H,,,2008-06-16,3,0,0
24437828,000019911939,Özer Logistics B.V.,3087BG,Spuikade,15,,3087BG,Rotterdam,41,www.ozerlogistics.nl,0.0,industriefunctie,69.0,in gebruik,H,,,2008-06-17,3,0,0
24437933,000018143792,Tunderman Freight Station B.V.,3133KJ,George Stephensonweg,25,,3133KJ,Vlaardingen,41,,0.0,industriefunctie,7466.0,in gebruik,H,H,,2008-06-18,6,0,0
24438053,000006932355,V.O.F. Kadima,2922VG,Lijsterstraat,98,,2922VG,Krimpen aan den IJssel,11,,0.0,woonfunctie,87.0,in gebruik,H,H,,2008-06-20,3,1,0
24438112,000020351836,Anthony Veder CO2 Shipping B.V.,3016BB,Parklaan,2,,3016BB,Rotterdam,41,,0.0,kantoorfunctie,2850.0,in gebruik,H,,,2008-06-23,1,0,0
24438119,000020119305,Anthony Veder LNG Shipping B.V.,3016BB,Parklaan,2,,3016BB,Rotterdam,41,,0.0,kantoorfunctie,2850.0,in gebruik,H,,,2008-06-23,1,0,0
24438214,000008197733,Transport Oriented Professional Services B.V.,2993LD,Oslo,16,3e verdiepin,2993LD,Barendrecht,41,,0.0,kantoorfunctie,258.0,in gebruik,H,,,2008-06-24,2,0,0
24438228,000020385633,Maripet Scheepvaart B.V.,2935WV,Volière,1,,2935WV,Ouderkerk aan den IJssel,41,,0.0,woonfunctie,209.0,in gebruik,H,,,2008-06-24,1,0,0
24438233,000010986235,PESA Steigers,3171PJ,Sneeuwbal,18,,3171PJ,Poortugaal,1,,0.0,woonfunctie,98.0,in gebruik,F,H,,2008-06-24,2,0,0
24438393,000016934679,GlobeTrans International (GTI) B.V.,2992SR,Augustapolder,72,,2992SR,Barendrecht,41,,0.0,kantoorfunctie,536.0,in gebruik,H,,,2008-06-26,1,0,0
24438412,000001335820,Rosmolen Transport Puttershoek,3297LC,Molendijk,26,,3297LC,Puttershoek,1,,0.0,woonfunctie,90.0,in gebruik,H,H,N,2008-06-26,2,1,0
24438458,000001733982,"United Liner Agencies Benelux, Div. J.P. Best",3088HH,Waalhaven Z.z.,12,,3088HH,Rotterdam,94,,,,,,H,,,2008-06-26,1,0,0
24438773,000017605253,Partners Network B.V.,8071JG,Laan,21,Begane grond,8071JG,Nunspeet,41,www.partnersnetwork.com,0.0,winkelfunctie,198.0,in gebruik,G,H,,2008-09-30,3,0,0
24438808,000006415997,Agricultural Shipping Services,3248BA,Molendijk,37,,3248BA,Melissant,1,www.agrishipping.nl,0.0,woonfunctie,122.0,in gebruik,H,,,2008-03-07,2,0,0
24438869,000013221388,Stuurboordbakboord Imotransportadvies B.V.,3371HJ,Wolfseind,34,,3371HJ,Hardinxveld-Giessendam,41,,0.0,woonfunctie,118.0,in gebruik,H,K,,2008-04-07,2,0,0
24439078,000018787347,MTC Havenservice B.V.,3088HE,Smirnoffweg,45,,3088HE,Rotterdam,41,www.mtcbv.nl,0.0,kantoorfunctie,168.0,in gebruik,H,H,,2008-08-07,5,0,0
24439584,000011870621,K.L.D.,3181XK,Wilgensingel,101,,3181XK,Rozenburg,1,,0.0,woonfunctie,130.0,in gebruik,H,,,2008-07-15,2,0,0
24440245,000019411626,Trustful Logistics,3208KJ,Curieweg,28,,3208KJ,Spijkenisse,41,,0.0,industriefunctie,193.0,in gebruik,H,,,2008-07-25,3,0,0
24440350,000018438369,GSK Dutch Company B.V.,4941TA,Keizersveer,3,c,4941TA,Raamsdonksveer,41,,0.0,winkelfunctie,2650.0,in gebruik,H,,,2013-08-26,2,0,0
24440439,000013964747,Torcque Shipping,3354VD,P.J. Oudstraat,136,,3354VD,Papendrecht,1,,0.0,woonfunctie,120.0,in gebruik,H,,,2008-07-30,2,0,0
24440450,000000697540,Stuij Transportbegeleiding,3361CG,Zoutstoep,11,,3361CG,Sliedrecht,1,www.stuij-tb.nl,0.0,woonfunctie,67.0,in gebruik,H,H,,2008-07-30,2,0,0
24440563,000018957048,OCIL Nederland B.V.,2991EM,Onderlangs,2,a,2991EM,Barendrecht,41,www.ocil.nl,0.0,winkelfunctie,60.0,in gebruik,H,,,2008-02-10,4,0,1
24441410,000018075851,St. John Freight Systems Netherlands B.V.,3088GB,Albert Plesmanweg,41,J 2de verdie,3088GB,Rotterdam,41,,,,,,H,,,2008-08-18,3,0,0
24442016,000020464134,A Sonic Logistics Netherlands B.V.,3088GB,Albert Plesmanweg,39,H,3088GB,Rotterdam,41,,,,,,H,,,2012-07-27,1,0,0
24442863,000020159099,Burando Customs Services B.V.,3089KA,Arie den Toomweg,37,,3089KA,Rotterdam,41,www.burandomaritime.com,0.0,kantoorfunctie,119.0,in gebruik,H,,,2008-11-09,3,0,1
24443058,000001496751,Friends in Logistics B.V.,3241DC,Herman Heijermanssingel,48,,3241DC,Middelharnis,41,www.friendsinlogistics.com,0.0,woonfunctie,152.0,in gebruik,H,,,2008-09-16,3,0,0
24443615,000017754291,Vidifresh Venlo B.V.,5928RH,Venrayseweg,136,B,5928RH,Venlo,41,,0.0,industriefunctie,8838.0,ingetrokken,H,G,G,2009-01-01,3,0,0
24443879,000020073690,Riverlake Solutions B.V.,3016BC,Parklaan,46,,3016BC,Rotterdam,41,www.riverlakesolutions.com,0.0,kantoorfunctie,1358.0,in gebruik,H,,,2008-09-29,1,0,0
24444020,000018987885,Smits Transport & Logistiek B.V.,3291CE,Keizersdijk,28,,3291CE,Strijen,41,www.smitslogistiek.nl,0.0,woonfunctie,140.0,in gebruik (niet ingemeten),H,H,,2008-09-30,5,0,0
24445208,000014221462,Prodenka B.V.,3194AM,Hoogvlietsekerkweg,134,A,3194AM,Hoogvliet Rotterdam,41,,0.0,kantoorfunctie,64.0,in gebruik,H,,,2008-10-20,2,0,0
24445976,000019119291,BDP Global Services B.V.,3194AR,Oudelandseweg,29,,3194AR,Hoogvliet Rotterdam,41,,,,,,H,,,2008-03-11,2,0,0
24446165,000017975727,Bok Transport B.V.,3271KB,Stougjesdijk,149,B,3271KB,Mijnsheerenland,41,,0.0,industriefunctie,85.0,in gebruik,H,,,2008-05-11,5,1,0
24446255,000004890590,Inco Express B.V.,2904SE,Mariënwaard,35,,2904SE,Capelle aan den IJssel,41,,0.0,woonfunctie,130.0,in gebruik,M,M,H,2008-06-11,2,0,0
24446755,000008135983,U.M.S. Ulti-Mate-Services,3034BB,Pootstraat,33,A,3034BB,Rotterdam,1,,0.0,woonfunctie,73.0,in gebruik,H,H,M,2008-11-14,2,0,0
24446962,000005163544,Best Machinery Holland B.V.,3027AR,Nicolaas Beetsstraat,30,,3027AR,Rotterdam,41,www.bestmachinery.nl,0.0,woonfunctie,134.0,in gebruik,G,H,G,2008-11-18,3,0,0
24447174,000017270553,UBO 35 B.V.,3063GD,'s-Lands werf,116,1e verdiepin,3063GD,Rotterdam,41,,0.0,woonfunctie,69.0,in gebruik,H,H,,2008-11-21,1,0,0
24447677,000017490944,2 Connect Logistics B.V.,3084CC,Aploniastraat,72,,3084CC,Rotterdam,41,,0.0,industriefunctie,90.0,in gebruik,H,,,2008-02-12,3,0,1
24448637,000015814165,Forvision|Fritom,3088GB,Albert Plesmanweg,57,4e verdiepin,3088GB,Rotterdam,41,www.forvisionfritom.nl,0.0,kantoorfunctie,1442.0,in gebruik,H,,,2008-12-18,4,0,0
24448786,000017520460,East West Agency B.V.,3088HE,Smirnoffweg,24,,3088HE,Rotterdam,41,,,,,,H,,,2008-12-22,2,0,0
24449854,000009695818,DJ Xpression,3252AH,De Tuinen,1,,3252AH,Goedereede,1,www.citrans.nl,0.0,woonfunctie,99.0,in gebruik,R,R,H,2018-07-13,2,0,0
24449889,000011585137,Adrian Services B.V.,2986VR,Koolmees,228,,2986VR,Ridderkerk,41,,0.0,woonfunctie,106.0,in gebruik,H,H,,2009-06-01,3,0,0
24450864,000016928229,Merlease 6 B.V.,3331LK,Ringdijk,466,C,3331LK,Zwijndrecht,41,,0.0,kantoorfunctie,351.0,in gebruik,H,H,G,2009-01-14,1,0,0
